Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,1000,,,,-1.01171875,0.025390625,0.013671875,,,12.113387793600205,-0.030684238929118056,3549,0,0.3716900852998909,,32.812989691145205,,,0.279296875,,
0,1000,,,,-1.173828125,0.04296875,0.037109375,-0.00032503280014738905,,12.113189288760813,-0.03084799351644997,3549,0,0.3736675846432248,0.12079553688571054,32.32700449546494,0.010260718493037495,0.0033169829285112336,0.279296875,,
0.028419999999925494,1000,,,,-0.94921875,-0.021484375,0.0078125,,,12.11319080910392,-0.0307103977773412,3547,0,0.37200090810041486,,32.456212639796995,,,0.28125,,
0.05378499999968335,1000,,,,-1.0859375,0.005859375,0.021484375,,-0.00006852444154382074,12.112631238005084,-0.029576708804298642,3551,0,0.35825176698032773,,33.74097483494686,,,0.279296875,,
0.08581499999994412,1000,,,,-0.912109375,-0.064453125,0.009765625,,,12.112835903005717,-0.02997892168697027,3551,0,0.3631297589433302,,33.28088760656808,,,0.27734375,,
0.1100449999999255,1000,,,,-1.142578125,-0.0078125,0.0390625,,,12.112622364157383,-0.02984176989419833,3550,0,0.3614620894065052,,33.43186574043165,,,0.27734375,,
0.13234500000020488,1000,,,,-0.986328125,0.015625,0,,,12.112690353526652,-0.02861670710432607,3550,0,0.346625312092268,,34.861827814927864,,,0.27734375,,
0.15409999999962748,1000,,,,-1.0625,-0.083984375,-0.01171875,-0.00032384627286365477,,12.112793576190203,-0.028703479625858525,3552,0,0.3476793236264055,0.1204575149388697,34.64615430174554,0.000568868132292085,0.00019709093088737372,0.27734375,,
0.17767499999981373,1000,,,,-0.953125,-0.12109375,0.02734375,,,12.112625614077626,-0.02878057234510278,3552,0,0.3486082977751061,,34.55781363249252,,,0.27734375,,
0.20761499999975785,1000,,,,-1.1875,0.091796875,0.041015625,,0.000856549230664429,12.112689977003642,-0.02802984407935826,3544,0,0.3395168114370177,,35.402035709626574,,,0.27734375,,
0.2298699999996461,1000,,,,-0.9609375,-0.0390625,0.01953125,,,12.112595132050469,-0.028352937271646728,3547,0,0.34342764997588043,,35.02787805552112,,,0.27734375,,
0.25234499999973925,1000,,,,-1.099609375,0.08984375,0.00390625,,,12.112518003838456,-0.02974196659490491,3545,0,0.36025010585034767,,33.3763422699753,,,0.27734375,,
0.275214999999851,1000,,,,-1,-0.0625,-0.005859375,,,12.112447778520075,-0.028797978827113373,3546,0,0.3488140146703375,,34.47193986495651,,,0.279296875,,
0.2980599999995902,1000,,,,-1.048828125,-0.01171875,0,0.00015754159547924393,,12.113149369165457,-0.027191970381042506,3550,0,0.3293803988674908,0.05857399896646174,17.783085808341,0.014623369511698722,0.0026004863483361598,0.279296875,,
0.3192199999997392,1000,,,,-1.09375,-0.03125,0.080078125,,,12.113062886279609,-0.027583481763371002,3549,0,0.3341204492222597,,17.523421798425534,,,0.279296875,,
