Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message
138.256679999999,1987,,,,-0.95703125,-0.07421875,-0.00390625,,,11.749738371434,10.6922934159798,14975,0,125.631650228369,,67.5877610271245,,,0.150390625,
138.279939999999,1987,,,,-1.0234375,0,0.015625,,,11.7498647817925,10.6927830201852,14977,0,125.638754628223,,67.5896698788355,,,0.1484375,
138.302114999999,1987,,,,-1.01171875,-0.001953125,0.0546875,0.053976806787174,,11.7496201239342,10.6952089688143,14969,0,125.664642529662,84.6133571577511,67.3326684853131,0.00406050845127,0.002734048694312,0.1484375,
138.331664999999,1987,,,,-1.078125,0,0.001953125,,,11.7492056688922,10.693114159985,14963,0,125.635597506607,,67.3176309301388,,,0.150390625,
138.356965,1988,,,,-1.01953125,-0.02734375,-0.07421875,,,11.7488334249759,10.6958736535794,14962,0,125.664037890493,,67.3000342934267,,,0.150390625,
138.379819999999,1988,,,,-1.07421875,0.02734375,-0.009765625,,0.344331733658611,11.7491411775159,10.6968538067217,14962,0,125.678845530422,,67.2923723582158,,,0.150390625,
138.403069999999,1988,,,,-1.037109375,0.080078125,0.08984375,,,11.7486424630586,10.6981592688308,14963,0,125.688848262349,,67.2916914598677,,,0.150390625,
138.431395,1988,,,,-1.03125,-0.072265625,0.00390625,,,11.7491827254704,10.6994239466067,14965,0,125.709487005956,,67.2897429336394,,,0.15234375,
138.456914999999,1988,,,,-1.0625,0.01953125,0,0.053702765586589,,11.7490679260833,10.6980557535372,14966,0,125.692183725335,84.1663259046726,66.9622592353035,0.004091086666283,0.002739484059017,0.15234375,
138.485334999999,1988,,,,-1.01171875,-0.02734375,-0.04296875,,,11.7489728260067,10.6961777195097,14971,0,125.669101368658,,66.9960510580681,,,0.15234375,
138.50921,1988,,,,-1.05078125,-0.02734375,-0.0234375,,0.344579705284702,11.7490072152825,10.6962438529615,14975,0,125.670246204865,,67.0117286032899,,,0.15234375,
138.530935,1988,,,,-1.0234375,-0.064453125,0.080078125,,,11.7488779421437,10.6958737077725,14974,0,125.664514677203,,67.0123952669489,,,0.15234375,
138.560149999999,1989,,,,-1.03125,-0.021484375,0.072265625,,,11.7484842265682,10.6933005564734,14973,0,125.630072917681,,67.0239363835444,,,0.15234375,
138.582225,1989,,,,-1.0625,0.03125,-0.033203125,0.053765110748889,,11.7485254160873,10.6916965404615,14971,0,125.611668546706,84.2880656417091,67.1020985684692,0.004088119743422,0.002743214139828,0.154296875,
138.60571,1989,,,,-1.015625,-0.064453125,-0.064453125,,,11.74838448053,10.6912537112989,14974,0,125.604959179232,,67.1206559611973,,,0.15625,
138.63007,1989,,,,-1.03125,0,0.00390625,,,11.7488353591787,10.6910904876145,14974,0,125.607861949065,,67.1216860243151,,,0.15625,
138.65988,1989,,,,-1.0234375,0.015625,0.06640625,,,11.7482943752014,10.6882904261864,14972,0,125.569182294485,,67.1335649171095,,,0.154296875,
138.681469999999,1989,,,,-1.03125,0.025390625,0.046875,,0.34340236937308,11.7483037982938,10.6885343711462,14975,0,125.57214895073,,67.1429809607385,,,0.154296875,
